Generation,Max Fitness,Average Fitness,World,Level
1,297,6.03515625,0,0
2,722,12.5703125,0,0
3,722,32.21875,0,0
4,1124,50.6328125,0,0
5,1138,70.8984375,0,0
6,1139,74.09765625,0,0
7,1139,107.35546875,0,0
8,1139,118.0703125,0,0
9,1523,79.53515625,0,0
10,2471,69.29296875,0,0
11,2471,75.72265625,0,0
12,2475,81.3359375,0,0
13,2475,86.4453125,0,0
14,2475,96.9140625,0,0
15,2475,89.36328125,0,0
16,2475,85.60546875,0,0
17,2475,105.05078125,0,0
18,2475,110.26171875,0,0
19,2475,103.28125,0,0
20,2475,104.1796875,0,0
21,2744,103.9140625,0,0
22,2748,116.08203125,0,0
23,2757,120.98046875,0,0
24,976,161.08984375,0,1
25,976,79.67578125,0,1
26,976,96.07421875,0,1
27,976,84.03125,0,1
28,1182,100.2265625,0,1
29,1189,101.77734375,0,1
30,1202,127.375,0,1
31,1202,103.69921875,0,1
32,1337,117.88671875,0,1
33,1555,154.46484375,0,1
34,1555,132.27734375,0,1
35,1557,145.27734375,0,1
36,1557,163.98046875,0,1
37,1557,135.88671875,0,1
38,1557,164.10546875,0,1
39,1557,151.62109375,0,1
40,1557,141.35546875,0,1
41,1557,136.71875,0,1
42,1557,127.96875,0,1
43,1557,126.328125,0,1
44,1557,144.1875,0,1
45,1557,168.54296875,0,1
46,1557,203.6796875,0,1
47,1557,138.875,0,1
48,1557,168.39453125,0,1
49,1557,185.27734375,0,1
50,1557,192.27734375,0,1
51,1557,155.44921875,0,1
52,1557,155.3125,0,1
53,1557,177.30859375,0,1
54,1557,168.91015625,0,1
55,1557,148.90234375,0,1
56,1557,179.65234375,0,1
57,1557,226.21484375,0,1
58,1557,216.1953125,0,1
59,1557,169.4765625,0,1
60,1557,172.23046875,0,1
61,1557,167.31640625,0,1
62,1557,134.33984375,0,1
63,1557,143.35546875,0,1
64,1557,121.953125,0,1
65,1557,139.296875,0,1
66,1557,194.8046875,0,1
67,1557,151.515625,0,1
68,1557,175.078125,0,1
69,1557,120.734375,0,1
70,1557,131.48046875,0,1
71,1557,149.3984375,0,1
72,1557,159.16796875,0,1
73,1557,160.54296875,0,1
74,1557,154.7265625,0,1
75,1557,167.76171875,0,1
76,1557,156.15625,0,1
77,1557,140.9140625,0,1
78,1557,148.14453125,0,1
79,1557,169.77734375,0,1
