Generation,Max Fitness,Average Fitness,World,Level
1,297,6.59375,0,0
2,297,19.20703125,0,0
3,315,38.28125,0,0
4,861,43.515625,0,0
5,1139,45.14453125,0,0
6,1139,71.1640625,0,0
7,1139,93.84375,0,0
8,1155,93.2578125,0,0
9,1155,121.21875,0,0
10,1155,127.75,0,0
11,1155,134.94140625,0,0
12,1509,126.07421875,0,0
13,2472,71.6796875,0,0
14,2472,75.3515625,0,0
15,2744,79.4375,0,0
16,2744,80.67578125,0,0
17,2744,95.09375,0,0
18,2744,98.17578125,0,0
19,2744,93.94140625,0,0
20,2744,104.33203125,0,0
21,1340,151.88671875,0,1
22,1340,103.6640625,0,1
23,1340,105.453125,0,1
24,1340,95.1484375,0,1
25,1340,128.65625,0,1
26,1340,141.5859375,0,1
27,1340,128.859375,0,1
28,1340,125.0703125,0,1
29,1340,120.3046875,0,1
30,1463,144.62890625,0,1
31,1463,172.02734375,0,1
32,1463,165.36328125,0,1
33,1463,141.34765625,0,1
34,1463,155.8671875,0,1
35,1463,134.9921875,0,1
36,1463,132.625,0,1
37,1463,144.9765625,0,1
38,1463,180.4296875,0,1
39,1463,172.98046875,0,1
40,1463,156.6796875,0,1
41,1463,121.55078125,0,1
42,1463,184.640625,0,1
43,1463,128.7109375,0,1
44,1463,182.7421875,0,1
45,1463,190.74609375,0,1
46,1463,226.5390625,0,1
47,1463,206.7734375,0,1
48,1463,223.14453125,0,1
49,1463,223.609375,0,1
50,1463,229.21484375,0,1
51,1463,234.3046875,0,1
52,1463,234.53125,0,1
53,1463,211.484375,0,1
54,2138,166.5234375,0,1
55,2149,50.1953125,0,1
56,2153,74.25390625,0,1
57,2153,95.76171875,0,1
58,2310,93.96484375,0,1
59,2310,97.1796875,0,1
60,2337,90.16796875,0,1
61,2337,124.6875,0,1
62,2550,122.3125,0,1
63,2550,151.29296875,0,1
64,2550,117.859375,0,1
65,418,157.05078125,0,2
66,601,177.765625,0,2
67,656,211.34765625,0,2
68,656,220.65625,0,2
69,659,221.70703125,0,2
70,747,240.9453125,0,2
71,749,242.49609375,0,2
72,749,250.03125,0,2
