Generation,Max Fitness,Average Fitness,World,Level
1,297,1.018554688,0,0
2,434,4.915039063,0,0
3,456,7.274414063,0,0
4,722,13.54980469,0,0
5,826,18.05761719,0,0
6,845,21.65820313,0,0
7,1139,30.88525391,0,0
8,1139,33.24316406,0,0
9,1139,45.57128906,0,0
10,1139,54.31933594,0,0
11,1139,58.25170898,0,0
12,1168,63.58007813,0,0
13,1168,65.23217773,0,0
14,1168,61.10400391,0,0
15,1168,76.37670898,0,0
16,1168,84.41943359,0,0
17,1168,90.40820313,0,0
18,1168,81.48901367,0,0
19,1437,82.67382813,0,0
20,1123,101.4140625,0,1
21,1191,76.15527344,0,1
22,1316,98.87792969,0,1
23,1339,84.59619141,0,1
24,1339,79.09423828,0,1
25,1341,109.6679688,0,1
26,1341,114.2021484,0,1
27,1341,100.3789063,0,1
28,1341,136.9926758,0,1
29,1341,117.5351563,0,1
30,1341,138.3803711,0,1
31,1341,122.6103516,0,1
32,1341,107.8701172,0,1
33,1341,105.0336914,0,1
34,1341,87.17089844,0,1
35,1341,120.6337891,0,1
36,1341,89.52099609,0,1
37,1344,114.0356445,0,1
38,1344,114.3144531,0,1
39,1344,84.65917969,0,1
40,1344,130.5810547,0,1
41,1344,104.0532227,0,1
42,1344,129.2199707,0,1
43,1344,94.18579102,0,1
44,1344,131.4799805,0,1
45,1344,105.5732422,0,1
46,1344,122.2783203,0,1
47,1344,118.0927734,0,1
48,1344,98.78564453,0,1
49,1344,98.47802734,0,1
50,1344,108.8466797,0,1
51,1344,106.0273438,0,1
52,1344,97.17285156,0,1
53,1346,125.6816406,0,1
54,1346,99.59423828,0,1
55,1346,112.9018555,0,1
56,1346,110.2792969,0,1
57,1346,151.8115234,0,1
58,1346,204.7734375,0,1
59,1346,125.6811523,0,1
60,1346,137.0917969,0,1
61,1346,123.5595703,0,1
62,1346,202.010498,0,1
63,1346,183.8378906,0,1
64,1346,128.6186523,0,1
65,1346,161.4692383,0,1
66,1346,153.8129883,0,1
67,1346,163.0683594,0,1
68,1346,161.6337891,0,1
69,1346,171.1923828,0,1
70,1346,137.8764648,0,1
71,1346,168.3564453,0,1
72,1346,121.2202148,0,1
73,1346,142.0961914,0,1
74,1346,158.9853516,0,1
75,1346,148.2944336,0,1
76,1346,111.96875,0,1
77,1346,111.9423828,0,1
78,1346,119.9511719,0,1
79,1346,153.0756836,0,1
80,1548,142.8369141,0,1
81,1548,136.0649414,0,1
82,1548,144.2265625,0,1
83,1548,116.59375,0,1
84,1548,127.8217773,0,1
85,1548,144.1608887,0,1
86,1548,152.9912109,0,1
87,1548,141.2692871,0,1
88,1548,143.1923828,0,1
89,1548,151.2075195,0,1
90,1548,106.8793945,0,1
91,1548,195.7421875,0,1
92,1548,141.0244141,0,1
93,1548,169.1162109,0,1
94,1548,151.1191406,0,1
95,1548,185.3100586,0,1
96,1548,130.2739258,0,1
97,1548,164.5876465,0,1
98,1548,176.7199707,0,1
99,1548,172.6943359,0,1
