Generation,Max Fitness,Average Fitness,World,Level
1,297,5.55078125,0,0
2,434,17.65234375,0,0
3,594,28.65234375,0,0
4,838,32.578125,0,0
5,838,40.95703125,0,0
6,838,55.32421875,0,0
7,838,81.65234375,0,0
8,898,86.7890625,0,0
9,1138,94.21875,0,0
10,1138,113.80859375,0,0
11,1139,128.4140625,0,0
12,1139,149.6953125,0,0
13,1139,144.8828125,0,0
14,2178,154.07421875,0,0
15,2472,83.0390625,0,0
16,2472,88.36328125,0,0
17,2472,94.16015625,0,0
18,2472,95.43359375,0,0
19,2472,96.640625,0,0
20,2472,110.765625,0,0
21,2472,113.52734375,0,0
22,2472,110.484375,0,0
23,2474,123.25,0,0
24,2755,119.6015625,0,0
25,2755,144.90234375,0,0
26,2755,151.73046875,0,0
27,2755,150.25390625,0,0
28,2756,152.44921875,0,0
29,2756,177.1015625,0,0
30,2756,188.34375,0,0
31,1320,153.375,0,1
32,1337,104.53515625,0,1
33,1337,94.4765625,0,1
34,1337,77.60546875,0,1
35,1337,76.27734375,0,1
36,1337,87.12109375,0,1
37,1337,94.2265625,0,1
38,1337,83.12109375,0,1
39,1337,79.953125,0,1
40,1337,98.64453125,0,1
41,1340,110.421875,0,1
42,1340,108.9765625,0,1
43,1340,99.67578125,0,1
44,1340,100.625,0,1
45,1340,104.38671875,0,1
46,1340,114.11328125,0,1
47,1340,132.3359375,0,1
48,1340,131.06640625,0,1
49,1340,125.7109375,0,1
50,1347,159.19140625,0,1
51,1347,145.33984375,0,1
52,1347,139.2578125,0,1
53,1347,135.640625,0,1
54,1347,137.9453125,0,1
55,1347,123.7265625,0,1
56,1347,163.640625,0,1
57,1347,112.88671875,0,1
