Generation,Max Fitness,Average Fitness,World,Level
1,272,15.375,0,0
2,297,45.90625,0,0
3,297,62.09375,0,0
4,310,89.46875,0,0
5,316,104.15625,0,0
6,316,101.25,0,0
7,316,91.71875,0,0
8,681,79.15625,0,0
9,999,76.03125,0,0
10,999,55.4375,0,0
11,999,64.40625,0,0
12,999,48.5,0,0
13,999,72.34375,0,0
14,999,63.34375,0,0
15,999,68.90625,0,0
16,999,32.34375,0,0
17,999,51.03125,0,0
18,999,62.46875,0,0
19,999,88.375,0,0
20,999,63.1875,0,0
21,1128,76.3125,0,0
22,1128,76.953125,0,0
23,1128,71.671875,0,0
24,1128,94.53125,0,0
25,1128,85.375,0,0
26,1128,87.03125,0,0
27,1128,80.8125,0,0
28,1128,46.03125,0,0
