Generation,Round Amount,Max Fitness,Average Fitness,Deaths,World,Level
0,1,1437,0,9,0,0
0,2,1437,0,7,0,0
1,1,1437,25.95703125,25,0,0
1,2,1437,25.95703125,26,0,0
2,1,1437,21.013671875,41,0,0
2,2,1437,21.013671875,40,0,0
3,1,1440,32.435546875,63,0,0
3,2,1477,32.435546875,64,0,0
4,1,1503,50.236328125,83,0,0
4,2,1503,50.236328125,80,0,0
5,1,1516,65.662109375,98,0,0
5,2,1516,65.662109375,100,0,0
6,1,1516,80.9765625,105,0,0
6,2,1516,80.9765625,106,0,0
7,1,1516,86.431640625,108,0,0
7,2,1516,86.431640625,105,0,0
8,1,1660,88.080078125,101,0,0
